FLAGS,VOR-,ETT+,BST+,KNO-,OID-,ERR-,0,0
176.8,B,14,BI,0,,,,
176.8,B,14,OW,,,,,
176.8,B,14,B-,2,2,1,,
176.8,B,15,B+,2,2,1,,
176.8,B,14,BO,0,,,,
176.8,B,15,BI,0,,,,
176.8,B,15,AB,2,2,,,
178.9,B,7,OW,,,,,
178.9,B,7,B-,5,5,1,,
178.9,B,8,B+,5,5,1,,
178.9,B,7,BO,0,,,,
178.9,B,8,BI,0,,,,
178.9,B,8,OW,,,,,
178.9,B,8,B-,5,5,2,,
178.9,B,10,B+,5,5,1,,
178.9,B,8,BO,0,,,,
178.9,B,10,BI,0,,,,
178.9,B,10,AB,5,5,,,
179.1,B,4,AE,9,9,,,
179.1,B,4,OW,,,,,
201.7,B,9,AE,1,1,,,
201.7,B,9,OW,,,,,
201.7,B,9,B-,1,1,1,,
201.7,B,12,B+,1,1,1,,
201.7,B,9,BO,0,,,,
201.7,B,12,BI,0,,,,
201.7,B,12,OW,,,,,
201.7,B,12,B-,1,1,1,,
201.7,B,13,B+,1,1,1,,
203.1,B,12,BO,0,,,,
203.1,B,13,BI,0,,,,
208.8,B,13,OW,,,,,
208.8,B,13,B-,1,1,1,,
208.8,B,14,B+,1,1,1,,
208.8,B,13,BO,0,,,,
208.8,B,14,BI,0,,,,
208.8,B,14,OW,,,,,
208.8,B,14,B-,1,1,2,,
208.8,B,16,B+,1,1,1,,
208.8,B,14,BO,0,,,,
208.8,B,16,BI,0,,,,
208.8,B,16,AB,1,1,,,
217.0,B,6,AE,6,6,,,
217.0,B,6,OW,,,,,
217.0,B,6,B-,6,6,1,,
217.0,B,7,B+,6,6,1,,
217.0,B,5,B-,7,7,1,,
217.0,B,6,B+,7,7,1,,
217.0,B,4,B-,9,9,1,,
217.0,B,5,B+,9,9,1,,
217.0,B,5,BO,0,,,,
217.0,B,6,BI,0,,,,
217.0,B,6,AB,7,7,,,
217.0,B,1,B-,10,10,1,,
217.0,B,4,B+,10,10,1,,
217.0,B,1,BO,0,,,,
217.0,B,4,BI,0,,,,
217.0,B,4,AB,10,10,,,
217.0,B,1,OW,,,,,
218.4,B,6,BO,0,,,,
218.4,B,7,BI,0,,,,
218.4,B,4,BO,0,,,,
218.4,B,5,BI,0,,,,
221.9,B,5,OW,,,,,
224.1,B,7,OW,,,,,
224.1,B,7,B-,6,6,1,,
224.1,B,8,B+,6,6,1,,
224.1,B,7,BO,0,,,,
224.1,B,8,BI,0,,,,
224.1,B,8,OW,,,,,
224.1,B,8,B-,6,6,1,,
224.1,B,9,B+,6,6,1,,
224.1,B,8,BO,0,,,,
224.1,B,9,BI,0,,,,
224.1,B,9,AB,6,6,,,
228.1,B,4,AE,10,10,,,
228.1,B,4,OW,,,,,
243.2,B,6,AE,7,7,,,
243.2,B,6,OW,,,,,
243.2,B,6,B-,7,7,1,,
243.2,B,7,B+,7,7,1,,
243.2,B,5,B-,8,8,1,,
243.2,B,6,B+,8,8,1,,
243.2,B,4,B-,10,10,1,,
243.2,B,5,B+,10,10,1,,
243.2,B,5,BO,0,,,,
243.2,B,6,BI,0,,,,
243.2,B,6,AB,8,8,,,
243.2,B,1,B-,11,11,1,,
243.2,B,4,B+,11,11,1,,
243.2,B,1,BO,0,,,,
243.2,B,4,BI,0,,,,
243.2,B,4,AB,11,11,,,
243.2,B,1,OW,,,,,
244.6,B,6,BO,0,,,,
244.6,B,7,BI,0,,,,
244.6,B,4,BO,0,,,,
244.6,B,5,BI,0,,,,
245.3,B,5,OW,,,,,
249.4,B,4,AE,11,11,,,
249.4,B,4,OW,,,,,
250.2,B,7,OW,,,,,
250.2,B,7,B-,7,7,1,,
250.2,B,8,B+,7,7,1,,
250.2,B,7,BO,0,,,,
250.2,B,8,BI,0,,,,
266.2,B,6,AE,8,8,,,
266.2,B,6,OW,,,,,
266.2,B,6,B-,8,8,1,,
266.2,B,7,B+,8,8,1,,
266.2,B,5,B-,9,9,1,,
266.2,B,6,B+,9,9,1,,
266.2,B,4,B-,11,11,1,,
266.2,B,5,B+,11,11,1,,
266.2,B,5,BO,0,,,,
266.2,B,6,BI,0,,,,
266.2,B,6,AB,9,9,,,
266.2,B,1,B-,12,12,1,,
266.2,B,4,B+,12,12,1,,
266.2,B,1,BO,0,,,,
266.2,B,4,BI,0,,,,
266.2,B,4,AB,12,12,,,
266.2,B,1,OW,,,,,
267.6,B,6,BO,0,,,,
267.6,B,7,BI,0,,,,
267.6,B,4,BO,0,,,,
267.6,B,5,BI,0,,,,
271.0,B,5,OW,,,,,
271.8,B,4,AE,12,12,,,
271.8,B,4,OW,,,,,
273.2,B,7,OW,,,,,
303.8,B,6,AE,9,9,,,
303.8,B,6,OW,,,,,
307.7,B,22,AE,4,4,,,
307.7,B,22,OW,,,,,
307.7,B,22,B-,4,4,1,,
307.7,B,12,B+,4,4,4,,
307.7,B,22,BO,0,,,,
307.7,B,12,BI,0,,,,
307.7,B,12,OW,,,,,
307.7,B,12,B-,4,4,1,,
307.7,B,13,B+,4,4,1,,
307.7,B,8,OW,,,,,
307.7,B,8,B-,7,7,4,,
307.7,B,22,B+,7,7,1,,
307.7,B,8,BO,0,,,,
307.7,B,22,BI,0,,,,
307.7,B,22,AB,7,7,,,
307.7,B,7,B-,8,8,1,,
307.7,B,8,B+,8,8,1,,
307.7,B,7,BO,0,,,,
307.7,B,8,BI,0,,,,
307.7,B,6,B-,9,9,1,,
307.7,B,7,B+,9,9,1,,
307.7,B,5,B-,10,10,1,,
307.7,B,6,B+,10,10,1,,
307.7,B,4,B-,12,12,1,,
307.7,B,5,B+,12,12,1,,
307.7,B,5,BO,0,,,,
307.7,B,6,BI,0,,,,
307.7,B,6,AB,10,10,,,
307.7,B,1,B-,13,13,1,,
307.7,B,4,B+,13,13,1,,
307.7,B,1,BO,0,,,,
307.7,B,4,BI,0,,,,
307.7,B,4,AB,13,13,,,
307.7,B,1,OW,,,,,
309.1,B,12,BO,0,,,,
309.1,B,13,BI,0,,,,
309.1,B,6,BO,0,,,,
309.1,B,7,BI,0,,,,
309.1,B,4,BO,0,,,,
309.1,B,5,BI,0,,,,
309.8,B,5,OW,,,,,
310.1,B,4,AE,13,13,,,
310.1,B,4,OW,,,,,
314.7,B,13,OW,,,,,
314.7,B,13,B-,4,4,1,,
314.7,B,14,B+,4,4,1,,
314.7,B,7,OW,,,,,
314.7,B,13,BO,0,,,,
314.7,B,14,BI,0,,,,
314.7,B,14,OW,,,,,
