Time,object,time in min,time spent
13194.0,219.0,219.9,4194.0
13223.0,220.0,220.38333333333333,4223.0
13258.0,221.0,220.96666666666667,4258.0
13317.0,222.0,221.95,4317.0
13402.0,223.0,223.36666666666667,4402.0
13430.0,224.0,223.83333333333334,4430.0
13459.0,225.0,224.31666666666666,3859.0
13534.0,226.0,225.56666666666666,3934.0
13557.0,227.0,225.95,3957.0
13622.0,228.0,227.03333333333333,4022.0
13662.0,229.0,227.7,4062.0
13694.0,230.0,228.23333333333332,4094.0
13721.0,231.0,228.68333333333334,4121.0
13816.0,232.0,230.26666666666668,4216.0
13854.0,233.0,230.9,4254.0
13904.0,234.0,231.73333333333332,4304.0
13954.0,235.0,232.56666666666666,4354.0
14060.0,236.0,234.33333333333334,4460.0
14097.0,237.0,234.95,4497.0
14132.0,238.0,235.53333333333333,4532.0
14151.0,239.0,235.85,3951.0
14242.0,240.0,237.36666666666667,4042.0
14415.0,241.0,240.25,4215.0
14437.0,242.0,240.61666666666667,4237.0
14467.0,243.0,241.11666666666667,4267.0
14548.0,244.0,242.46666666666667,4348.0
14633.0,245.0,243.88333333333333,4433.0
14664.0,246.0,244.4,4464.0
14701.0,247.0,245.01666666666668,4501.0
14752.0,248.0,245.86666666666667,4552.0
14921.0,249.0,248.68333333333334,4721.0
14992.0,250.0,249.86666666666667,4792.0
15145.0,251.0,252.41666666666666,4945.0
15172.0,252.0,252.86666666666667,4972.0
15271.0,253.0,254.51666666666668,4471.0
15312.0,254.0,255.2,4512.0
15492.0,255.0,258.2,4692.0
15569.0,256.0,259.48333333333335,4769.0
15596.0,257.0,259.93333333333334,4796.0
15670.0,258.0,261.1666666666667,4870.0
15703.0,259.0,261.71666666666664,4903.0
15742.0,260.0,262.3666666666667,4942.0
15845.0,261.0,264.0833333333333,5045.0
15883.0,262.0,264.71666666666664,5083.0
15956.0,263.0,265.93333333333334,5156.0
16014.0,264.0,266.9,5214.0
16058.0,265.0,267.6333333333333,5258.0
16135.0,266.0,268.9166666666667,5335.0
16154.0,267.0,269.23333333333335,4754.0
16205.0,268.0,270.0833333333333,4805.0
16364.0,269.0,272.73333333333335,4964.0
16402.0,270.0,273.3666666666667,5002.0
16441.0,271.0,274.01666666666665,5041.0
16483.0,272.0,274.71666666666664,5083.0
16518.0,273.0,275.3,5118.0
16544.0,274.0,275.73333333333335,5144.0
16668.0,275.0,277.8,5268.0
16770.0,276.0,279.5,5370.0
16804.0,277.0,280.06666666666666,5404.0
16842.0,278.0,280.7,5442.0
16951.0,279.0,282.51666666666665,5551.0
17053.0,280.0,284.21666666666664,5653.0
17065.0,281.0,284.4166666666667,5065.0
17155.0,282.0,285.9166666666667,5155.0
17199.0,283.0,286.65,5199.0
17232.0,284.0,287.2,5232.0
17263.0,285.0,287.71666666666664,5263.0
17284.0,286.0,288.06666666666666,5284.0
17423.0,287.0,290.3833333333333,5423.0
17434.0,288.0,290.56666666666666,5434.0
17507.0,289.0,291.78333333333336,5507.0
17589.0,290.0,293.15,5589.0
17648.0,291.0,294.1333333333333,5648.0
17727.0,292.0,295.45,5727.0
17760.0,293.0,296.0,5760.0
17791.0,294.0,296.51666666666665,5791.0
17888.0,295.0,298.1333333333333,5288.0
17976.0,296.0,299.6,5376.0
18021.0,297.0,300.35,5421.0
18051.0,298.0,300.85,5451.0
18079.0,299.0,301.31666666666666,5479.0
18110.0,300.0,301.8333333333333,5510.0
18336.0,301.0,305.6,5736.0
18350.0,302.0,305.8333333333333,5750.0
18384.0,303.0,306.4,5784.0
18411.0,304.0,306.85,5811.0
18442.0,305.0,307.3666666666667,5842.0
18538.0,306.0,308.96666666666664,5938.0
18569.0,307.0,309.48333333333335,5969.0
18650.0,308.0,310.8333333333333,6050.0
18700.0,309.0,311.6666666666667,5500.0
18737.0,310.0,312.28333333333336,5537.0
18764.0,311.0,312.73333333333335,5564.0
18799.0,312.0,313.31666666666666,5599.0
19004.0,313.0,316.73333333333335,5804.0
19086.0,314.0,318.1,5886.0
19121.0,315.0,318.68333333333334,5921.0
19157.0,316.0,319.28333333333336,5957.0
19248.0,317.0,320.8,6048.0
19282.0,318.0,321.3666666666667,6082.0
19344.0,319.0,322.4,6144.0
19372.0,320.0,322.8666666666667,6172.0
19393.0,321.0,323.21666666666664,6193.0
19442.0,322.0,324.03333333333336,6242.0
19509.0,323.0,325.15,5709.0
19532.0,324.0,325.53333333333336,5732.0
19709.0,325.0,328.48333333333335,5909.0
19740.0,326.0,329.0,5940.0
19763.0,327.0,329.3833333333333,5963.0
19780.0,328.0,329.6666666666667,5980.0
19824.0,329.0,330.4,6024.0
19971.0,330.0,332.85,6171.0
19989.0,331.0,333.15,6189.0
20028.0,332.0,333.8,6228.0
20078.0,333.0,334.6333333333333,6278.0
20191.0,334.0,336.51666666666665,6391.0
20226.0,335.0,337.1,6426.0
20315.0,336.0,338.5833333333333,6515.0
20460.0,337.0,341.0,6060.0
20483.0,338.0,341.3833333333333,6083.0
20517.0,339.0,341.95,6117.0
20550.0,340.0,342.5,6150.0
20575.0,341.0,342.9166666666667,6175.0
20659.0,342.0,344.31666666666666,6259.0
20687.0,343.0,344.78333333333336,6287.0
20929.0,344.0,348.81666666666666,6529.0
21001.0,345.0,350.01666666666665,6601.0
21065.0,346.0,351.0833333333333,6665.0
21236.0,347.0,353.93333333333334,6836.0
21239.0,348.0,353.98333333333335,6839.0
21260.0,349.0,354.3333333333333,6860.0
21303.0,350.0,355.05,6903.0
21347.0,351.0,355.78333333333336,6347.0
21394.0,352.0,356.56666666666666,6394.0
21436.0,353.0,357.26666666666665,6436.0
21507.0,354.0,358.45,6507.0
21563.0,355.0,359.3833333333333,6563.0
21618.0,356.0,360.3,6618.0
21648.0,357.0,360.8,6648.0
21750.0,358.0,362.5,6750.0
21788.0,359.0,363.1333333333333,6788.0
21826.0,360.0,363.76666666666665,6826.0
21867.0,361.0,364.45,6867.0
21896.0,362.0,364.93333333333334,6896.0
21950.0,363.0,365.8333333333333,6950.0
22005.0,364.0,366.75,7005.0
22103.0,365.0,368.3833333333333,6503.0
22140.0,366.0,369.0,6540.0
22215.0,367.0,370.25,6615.0
22241.0,368.0,370.68333333333334,6641.0
22318.0,369.0,371.96666666666664,6718.0
22436.0,370.0,373.93333333333334,6836.0
