COM	time	Objecttyp	Order Nr(A)
GEN			
7200	178	178	
7200	179	179	
7200	180	180	
7200	181	181	
7200	182	182	
7800	183	183	
7800	184	184	
7800	185	185	
7800	186	186	
7800	187	187	
7800	188	188	
7800	189	189	
7800	190	190	
7800	191	191	
7800	192	192	
7800	193	193	
7800	194	194	
7800	195	195	
7800	196	196	
8400	197	197	
8400	198	198	
8400	199	199	
8400	200	200	
8400	201	201	
8400	202	202	
8400	203	203	
8400	204	204	
8400	205	205	
8400	206	206	
8400	207	207	
8400	208	208	
8400	209	209	
8400	210	210	
9000	211	211	
9000	212	212	
9000	213	213	
9000	214	214	
9000	215	215	
9000	216	216	
9000	217	217	
9000	218	218	
9000	219	219	
9000	220	220	
9000	221	221	
9000	222	222	
9000	223	223	
9000	224	224	
9600	225	225	
9600	226	226	
9600	227	227	
9600	228	228	
9600	229	229	
9600	230	230	
9600	231	231	
9600	232	232	
9600	233	233	
9600	234	234	
9600	235	235	
9600	236	236	
9600	237	237	
9600	238	238	
10200	239	239	
10200	240	240	
10200	241	241	
10200	242	242	
10200	243	243	
10200	244	244	
10200	245	245	
10200	246	246	
10200	247	247	
10200	248	248	
10200	249	249	
10200	250	250	
10200	251	251	
10200	252	252	
10800	253	253	
10800	254	254	
10800	255	255	
10800	256	256	
10800	257	257	
10800	258	258	
10800	259	259	
10800	260	260	
10800	261	261	
10800	262	262	
10800	263	263	
10800	264	264	
10800	265	265	
10800	266	266	
11400	267	267	
11400	268	268	
11400	269	269	
11400	270	270	
11400	271	271	
11400	272	272	
11400	273	273	
11400	274	274	
11400	275	275	
11400	276	276	
11400	277	277	
11400	278	278	
11400	279	279	
11400	280	280	
12000	281	281	
12000	282	282	
12000	283	283	
12000	284	284	
12000	285	285	
12000	286	286	
12000	287	287	
12000	288	288	
12000	289	289	
12000	290	290	
12000	291	291	
12000	292	292	
12000	293	293	
12000	294	294	
12600	295	295	
12600	296	296	
12600	297	297	
12600	298	298	
12600	299	299	
12600	300	300	
12600	301	301	
12600	302	302	
12600	303	303	
12600	304	304	
12600	305	305	
12600	306	306	
12600	307	307	
12600	308	308	
13200	309	309	
13200	310	310	
13200	311	311	
13200	312	312	
13200	313	313	
13200	314	314	
13200	315	315	
13200	316	316	
13200	317	317	
13200	318	318	
13200	319	319	
13200	320	320	
13200	321	321	
13200	322	322	
13800	323	323	
13800	324	324	
13800	325	325	
13800	326	326	
13800	327	327	
13800	328	328	
13800	329	329	
13800	330	330	
13800	331	331	
13800	332	332	
13800	333	333	
13800	334	334	
13800	335	335	
13800	336	336	
14400	337	337	
14400	338	338	
14400	339	339	
14400	340	340	
14400	341	341	
14400	342	342	
14400	343	343	
14400	344	344	
14400	345	345	
14400	346	346	
14400	347	347	
14400	348	348	
14400	349	349	
14400	350	350	
15000	351	351	
15000	352	352	
15000	353	353	
15000	354	354	
15000	355	355	
15000	356	356	
15000	357	357	
15000	358	358	
15000	359	359	
15000	360	360	
15000	361	361	
15000	362	362	
15000	363	363	
15000	364	364	
15600	365	365	
15600	366	366	
15600	367	367	
15600	368	368	
15600	369	369	
15600	370	370	
15600	371	371	
15600	372	372	
15600	373	373	
15600	374	374	
15600	375	375	
15600	376	376	
15600	377	377	
15600	378	378	
16200	379	379	
16200	380	380	
16200	381	381	
16200	382	382	
16200	383	383	
16200	384	384	
16200	385	385	
16200	386	386	
16200	387	387	
16200	388	388	
16200	389	389	
16200	390	390	
16200	391	391	
16200	392	392	
16800	393	393	
16800	394	394	
16800	395	395	
16800	396	396	
16800	397	397	
16800	398	398	
16800	399	399	
16800	400	400	
16800	401	401	
16800	402	402	
16800	403	403	
16800	404	404	
16800	405	405	
16800	406	406	
17400	407	407	
17400	408	408	
17400	409	409	
17400	410	410	
17400	411	411	
17400	412	412	
17400	413	413	
17400	414	414	
17400	415	415	
17400	416	416	
17400	417	417	
17400	418	418	
17400	419	419	
17400	420	420	
18000	421	421	
18000	422	422	
18000	423	423	
18000	424	424	
18000	425	425	
18000	426	426	
18000	427	427	
18000	428	428	
18000	429	429	
18000	430	430	
18000	431	431	
18000	432	432	
18000	433	433	
18000	434	434	
18600	435	435	
18600	436	436	
18600	437	437	
18600	438	438	
18600	439	439	
18600	440	440	
18600	441	441	
18600	442	442	
18600	443	443	
18600	444	444	
18600	445	445	
18600	446	446	
18600	447	447	
18600	448	448	
19200	449	449	
19200	450	450	
19200	451	451	
19200	452	452	
19200	453	453	
19200	454	454	
19200	455	455	
19200	456	456	
19200	457	457	
19200	458	458	
19200	459	459	
19200	460	460	
19200	461	461	
19200	462	462	
19800	463	463	
19800	464	464	
19800	465	465	
19800	466	466	
19800	467	467	
19800	468	468	
19800	469	469	
19800	470	470	
19800	471	471	
19800	472	472	
19800	473	473	
19800	474	474	
19800	475	475	
19800	476	476	
20400	477	477	
20400	478	478	
20400	479	479	
20400	480	480	
20400	481	481	
20400	482	482	
20400	483	483	
20400	484	484	
20400	485	485	
20400	486	486	
20400	487	487	
20400	488	488	
20400	489	489	
20400	490	490	
21000	491	491	
21000	492	492	
21000	493	493	
21000	494	494	
21000	495	495	
21000	496	496	
21000	497	497	
21000	498	498	
21000	499	499	
21000	500	500	
21000	501	501	
21000	502	502	
21000	503	503	
21000	504	504	
21600	505	505	
21600	506	506	
21600	507	507	
21600	508	508	
21600	509	509	
21600	510	510	
21600	511	511	
21600	512	512	
21600	513	513	
21600	514	514	
21600	515	515	
21600	516	516	
21600	517	517	
21600	518	518	
22200	519	519	
22200	520	520	
22200	521	521	
22200	522	522	
22200	523	523	
22200	524	524	
22200	525	525	
22200	526	526	
22200	527	527	
22200	528	528	
22200	529	529	
22200	530	530	
22200	531	531	
22200	532	532	
22800	533	533	
22800	534	534	
22800	535	535	
22800	536	536	
22800	537	537	
22800	538	538	
22800	539	539	
22800	540	540	
22800	541	541	
22800	542	542	
22800	543	543	
22800	544	544	
22800	545	545	
22800	546	546	
23400	547	547	
23400	548	548	
23400	549	549	
23400	550	550	
23400	551	551	
23400	552	552	
23400	553	553	
23400	554	554	
23400	555	555	
23400	556	556	
23400	557	557	
23400	558	558	
23400	559	559	
23400	560	560	
24000	561	561	
24000	562	562	
24000	563	563	
24000	564	564	
24000	565	565	
24000	566	566	
24000	567	567	
24000	568	568	
24000	569	569	
24000	570	570	
24000	571	571	
24000	572	572	
24000	573	573	
24000	574	574	
24600	575	575	
24600	576	576	
24600	577	577	
24600	578	578	
24600	579	579	
24600	580	580	
24600	581	581	
24600	582	582	
24600	583	583	
24600	584	584	
24600	585	585	
24600	586	586	
24600	587	587	
24600	588	588	
